IO_code_BEA,concordance_CN_code
321100,6
321200,6
321910,6
3219A0,6
327100,16
327200,16
327310,16
327320,16
327330,16
327390,16
327400,16
327910,16
327991,16
327992,16
327993,16
327999,16
331110,17
331200,17
331313,18
33131B,18
331410,18
331420,18
331490,18
331510,19
331520,19
332114,19
33211A,19
332119,19
332200,19
332310,19
332320,19
332410,19
332420,19
332430,19
332500,19
332600,19
332710,19
332720,19
332800,19
332913,19
33291A,19
332991,19
332996,19
33299A,19
332999,19
333111,21
333112,21
333120,21
333130,21
333242,21
33329A,21
333314,26
333316,26
333318,26
333414,20
333415,20
333413,20
333511,20
333514,21
333517,20
33351B,20
333611,20
333612,20
333613,20
333618,20
333912,20
333914,20
333920,20
333991,20
333993,20
333994,20
33399A,20
33399B,20
334111,25
334112,25
334118,25
334210,25
334220,25
334290,25
334413,25
334418,25
33441A,25
334510,26
334511,26
334512,26
334513,26
334514,26
334515,26
334516,26
334517,26
33451A,26
334300,25
334610,25
335110,24
335120,24
335210,24
335220,24
335311,24
335312,24
335313,24
335314,24
335911,24
335912,24
335920,24
335930,24
335991,24
335999,24
336111,22
336112,22
336120,22
336211,22
336212,22
336213,22
336214,22
336310,22
336320,22
336350,22
336360,22
336370,22
336390,22
3363A0,22
336411,23
336412,23
336413,23
336414,23
33641A,23
336500,23
336611,23
336612,23
336991,23
336992,23
336999,23
337110,6
337121,7
337122,7
337127,7
33712N,7
337215,7
33721A,7
337900,7
339112,13
339113,13
339114,13
339115,13
339116,13
339910,27
339920,10
339930,10
339940,10
339950,10
339990,27
311111,1
311119,1
311210,1
311221,1
311225,1
311224,1
311230,1
311300,1
311410,1
311420,28
311513,1
311514,1
31151A,1
311520,1
311615,28
31161A,28
311700,28
311810,1
3118A0,1
311910,1
311920,2
311930,1
311940,1
311990,1
312110,2
312120,2
312130,2
312140,2
312200,29
313100,3
313200,3
313300,3
314110,3
314120,3
314900,3
315000,4
316000,5
322110,8
322120,8
322130,8
322210,8
322220,8
322230,8
322291,8
322299,8
323110,9
323120,9
324110,11
324121,11
324122,11
324190,11
325110,12
325120,12
325130,12
325180,12
325190,12
325211,12
3252A0,12
325411,13
325412,13
325413,13
325414,13
325310,14
325320,14
325510,15
325520,15
325610,15
325620,15
325910,15
3259A0,15
326110,15
326120,15
326130,15
326140,15
326150,15
326160,15
326190,15
326210,15
326220,15
326290,15
